team,season,total_players,qualified_players,players_300pa,total_pa,avg_pa_per_player,median_pa,max_pa,consistency_score
LAD,2024,15,14,9,5759,383.9,393,731,383.9
MIA,2024,17,10,5,3736,219.8,241,579,219.8
TOR,2024,17,10,8,4674,274.9,225,697,274.9
PHI,2024,17,12,9,5781,340.1,363,692,340.1
CLE,2024,18,16,9,5653,314.1,287,682,314.1
NYM,2024,18,14,10,5905,328.1,343,695,328.1
ATL,2024,18,11,9,5159,286.6,297,688,286.6
BAL,2024,18,13,9,5657,314.3,267,719,314.3
NYY,2024,18,13,9,6029,334.9,280,713,334.9
STL,2024,18,14,9,5899,327.7,296,654,327.7
CHC,2024,18,11,9,5333,296.3,262,657,296.3
BOS,2024,19,15,9,5669,298.4,243,735,298.4
HOU,2024,19,12,9,5854,308.1,274,682,308.1
DET,2024,19,13,7,5103,268.6,289,584,268.6
ARI,2024,20,15,10,6073,303.6,295,684,303.6
COL,2024,20,15,7,5699,285.0,235,695,285.0
SEA,2024,20,11,9,4993,249.6,148,628,249.6
OAK,2024,20,18,9,5845,292.2,245,642,292.2
MIL,2024,21,14,10,6143,292.5,280,688,292.5
MIN,2024,21,17,12,6123,291.6,315,635,291.6
TEX,2024,21,12,8,5776,275.0,188,718,275.0
PIT,2024,23,14,9,5703,248.0,243,692,248.0
CIN,2024,24,14,9,5662,235.9,158,696,235.9
LAA,2024,26,14,8,5561,213.9,115,663,213.9
